GuessWord,Max,Median,Average
surgy,1179,509.0,460.5801295896328
surra,1157,428.0,423.5818574514039
sused,1229,547.0,463.6133909287257
suses,1304,673.0,573.609071274298
susus,1504,1369.0,966.4488120950324
sutor,1448,379.0,387.3183585313175
sutra,1336,363.0,396.0548596112311
sutta,1338,541.0,521.0967602591793
swabs,1471,777.0,681.6933045356371
swack,1406,669.0,596.5602591792657
swads,1338,722.0,633.9969762419006
swage,1231,362.0,385.7166306695464
swags,1487,759.0,649.7727861771058
swail,1366,404.0,408.5291576673866
swain,1206,430.0,432.3719222462203
swale,1232,308.0,333.7356371490281
swaly,1198,518.0,429.82246220302375
swamy,1223,613.0,495.5879049676026
swang,1474,566.0,538.4989200863931
swank,1384,624.0,559.6773218142548
swans,1380,671.0,577.0617710583153
swaps,1349,770.0,673.0181425485961
swapt,1385,540.0,486.92138228941684
sward,1241,425.0,458.3330453563715
sware,1195,298.0,333.310151187905
swarf,1406,479.0,522.3589632829373
swart,1350,381.0,398.92742980561553
swats,1453,651.0,573.5930885529158
swayl,1473,518.0,507.36803455723543
sways,1551,716.0,661.7576673866091
sweal,1503,427.0,443.14902807775377
swede,1164,669.0,470.38358531317493
sweed,1381,669.0,483.933909287257
sweel,1359,557.0,423.1058315334773
sweer,1385,531.0,431.81295896328294
swees,1330,818.0,553.3429805615551
sweir,1373,349.0,393.32224622030236
swelt,1328,402.0,425.04103671706264
swerf,1546,525.0,575.3252699784017
sweys,1642,603.0,694.8406047516198
swies,1333,520.0,473.9015118790497
swigs,1435,918.0,710.5140388768898
swile,1252,353.0,355.36198704103674
swims,1521,908.0,715.9982721382289
swink,1414,766.0,628.4086393088553
swipe,1233,441.0,424.4449244060475
swire,1352,322.0,346.2911447084233
swiss,1498,1083.0,798.9727861771058
swith,1337,674.0,552.0622030237581
swits,1409,784.0,624.7006479481641
swive,1345,504.0,472.35637149028076
swizz,1694,1060.0,896.5105831533477
swobs,1585,937.0,765.1179265658748
swole,1271,322.0,352.3533477321814
swoln,1233,517.0,476.27127429805614
swops,1569,920.0,747.5835853131749
swopt,1424,645.0,539.9766738660907
swots,1432,779.0,640.1140388768898
swoun,1396,635.0,561.1390928725702
sybbe,1370,563.0,560.457019438445
sybil,1396,543.0,529.8958963282937
syboe,1282,319.0,383.9123110151188
sybow,1620,733.0,706.5507559395248
sycee,866,470.0,339.8038876889849
syces,1375,470.0,496.9771058315335
sycon,1445,616.0,520.6211663066955
syens,1437,450.0,533.2643628509719
syker,1357,421.0,447.304535637149
sykes,1483,592.0,593.6393088552916
sylis,1465,634.0,580.1935205183586
sylph,1325,647.0,609.9153347732181
sylva,1423,634.0,603.7123110151188
symar,1401,432.0,447.3386609071274
synch,1265,645.0,576.4151187904968
syncs,1450,750.0,627.8082073434125
synds,1502,802.0,678.451403887689
syned,1233,368.0,402.33347732181426
synes,1313,450.0,459.7572354211663
synth,1261,579.0,533.038444924406
syped,1328,465.0,484.7507559395248
sypes,1389,570.0,558.1114470842333
syphs,1609,990.0,846.3041036717062
syrah,1402,396.0,424.0453563714903
syren,1241,308.0,331.34859611231104
sysop,1548,801.0,699.1032397408208
sythe,1281,362.0,405.24838012958963
syver,1344,436.0,457.9965442764579
taals,1188,493.0,408.06997840172784
taata,1233,996.0,635.2280777537796
taber,1394,401.0,374.63239740820734
tabes,1573,386.0,395.4341252699784
tabid,1299,509.0,486.88120950323975
tabis,1529,490.0,472.0172786177106
tabla,1505,619.0,540.704535637149
tabor,1616,467.0,411.5477321814255
tabun,1509,589.0,498.39956803455726
tabus,1583,586.0,537.9205183585314
tacan,1216,556.0,485.8427645788337
taces,1271,339.0,360.3550755939525
tacet,1199,359.0,379.2850971922246
tache,1481,354.0,372.55075593952483
tacho,1507,565.0,525.9179265658747
tachs,1515,606.0,573.9403887688985
tacks,1768,649.0,584.7002159827214
tacos,1718,473.0,437.59352051835856
tacts,1390,558.0,561.2907127429805
taels,1572,309.0,345.0194384449244
tafia,1217,584.0,527.9602591792657
taggy,1384,647.0,582.9257019438445
tagma,1564,719.0,616.238444924406
tahas,1294,627.0,561.2937365010799
tahrs,1440,485.0,450.422030237581
taiga,1408,556.0,455.50453563714905
taigs,1420,440.0,432.57321814254857
taiko,1169,435.0,399.5434125269978
tails,1206,405.0,360.24967602591795
tains,1519,432.0,378.9416846652268
taira,1184,380.0,356.3866090712743
taish,1296,395.0,389.8704103671706
taits,1228,470.0,456.3745140388769
tajes,1584,446.0,454.4941684665227
takas,1285,667.0,592.5546436285097
